Fecha,Temporada,Jornada,Equipo1,Equipo2,Goles1,Goles2
08/09/1979,1979-1980,1,Betis,Rayo Vallecano,1,2
08/09/1979,1979-1980,1,Español,AD Almería,5,2
08/09/1979,1979-1980,1,Sporting de Gijón,Sevilla,2,1
08/09/1979,1979-1980,1,Real Sociedad,Las Palmas,1,0
09/09/1979,1979-1980,1,Burgos,CD Málaga,1,0
09/09/1979,1979-1980,1,Hércules,Atlético de Madrid,2,3
09/09/1979,1979-1980,1,Real Madrid,Valencia,3,1
09/09/1979,1979-1980,1,Salamanca,Athletic Club,2,1
09/09/1979,1979-1980,1,Zaragoza,Barcelona,2,2
15/09/1979,1979-1980,2,Athletic Club,Real Sociedad,0,1
15/09/1979,1979-1980,2,Atlético de Madrid,Sporting de Gijón,1,3
15/09/1979,1979-1980,2,Barcelona,Betis,5,0
15/09/1979,1979-1980,2,Las Palmas,Hércules,2,1
15/09/1979,1979-1980,2,CD Málaga,Español,1,2
15/09/1979,1979-1980,2,Valencia,Salamanca,2,2
16/09/1979,1979-1980,2,AD Almería,Zaragoza,1,0
16/09/1979,1979-1980,2,Rayo Vallecano,Real Madrid,1,2
16/09/1979,1979-1980,2,Sevilla,Burgos,6,1
22/09/1979,1979-1980,3,Español,Zaragoza,2,0
23/09/1979,1979-1980,3,Betis,AD Almería,0,0
23/09/1979,1979-1980,3,Burgos,Atlético de Madrid,1,1
23/09/1979,1979-1980,3,Sporting de Gijón,Las Palmas,4,1
23/09/1979,1979-1980,3,Hércules,Athletic Club,2,1
23/09/1979,1979-1980,3,CD Málaga,Sevilla,2,1
23/09/1979,1979-1980,3,Real Sociedad,Valencia,0,0
23/09/1979,1979-1980,3,Real Madrid,Barcelona,3,2
23/09/1979,1979-1980,3,Salamanca,Rayo Vallecano,3,0
29/09/1979,1979-1980,4,Atlético de Madrid,CD Málaga,0,0
29/09/1979,1979-1980,4,Las Palmas,Burgos,2,1
